,SiPM,ped_mean,ped_std,ped_median,ped_mode,light_mean,light_std,a,a_err,b,b_err,ab_cov
22,22,79.3560957065127,7.089196992415465,79.0,77.0,200.02488561007956,101.2461052089617,50.14285712720294,1.5583874574917247,67.19047619309954,0.3086067042279839,
23,23,79.95155273599924,7.616884052671821,79.0,77.0,233.71062168435014,118.91341613285958,46.00000000009606,1.4529663116176124,71.20000000015311,0.258198888941321,
24,24,79.3464490222634,8.666767624400832,79.0,77.0,179.90190318302388,128.21194756164607,39.142857142938084,1.6903085800629234,70.42857142872288,0.37796450239012896,
25,25,81.21220329317842,7.888552557907364,81.0,79.0,206.60636107427055,107.68517839687138,47.42857157972031,1.5583874964342206,71.90476187808858,0.30860670800669526,
26,26,79.63255874735667,8.09111415110168,79.0,77.0,149.69007957559683,78.8941989599206,41.200000000085566,1.861898671850733,68.22857142871804,0.47809142976634206,
27,27,78.92163851070401,7.154852604206364,78.0,77.0,206.4589671750663,106.3503381800791,48.42857142867266,1.5583874677415608,69.23809523824407,0.3086066970966463,
28,28,80.59424525387887,8.737591256240613,80.0,79.0,134.55960377984084,109.72322534810658,38.533333333413026,1.861898752383739,71.65714285729696,0.47809147713779504,
29,29,78.90125216812793,7.9361703488155895,78.0,77.0,170.3322795092838,91.65252295296709,41.42857184121333,1.6903084329381322,71.14285706060234,0.37796445079503466,
30,30,79.2025447287761,7.847129379502066,79.0,77.0,150.2053779840849,79.20784808133467,47.600000071439716,1.8618987123008384,68.6857142692282,0.47809146273214725,
31,31,79.30825433031578,6.4901185708349285,78.0,77.0,160.7517622679045,81.09889402961298,47.71428571438542,1.6903085508389333,66.8571428572865,0.37796448519114023,
32,32,73.13297455271224,7.8057608021539036,72.0,71.0,199.14935510610078,137.34647150637718,40.000000000082835,1.5583874421823583,74.3333333334933,0.30860670044400496,
33,33,76.32398365290945,9.044197477438217,76.0,75.0,157.0822927718833,87.33660845248347,37.42857142864872,1.6903084285582595,70.42857142872288,0.3779644407232324,
34,34,73.98656354693848,7.50417163741841,73.0,73.0,202.9878100132626,105.2013752347814,45.7142859984301,1.5583873725938187,67.28571423515429,0.30860668675458736,
35,35,73.56620809276023,7.894581022277087,73.0,71.0,143.010300066313,115.24892872596733,40.133333333416495,1.8618987403750455,73.48571428587238,0.47809147071179475,
36,36,74.8425998526861,7.733530049472892,74.0,73.0,244.41079575596817,119.90480504681133,43.6666666667577,1.452966254084374,68.20000000014656,0.25819887791440066,
37,37,75.74896048661107,8.343760365958257,75.0,73.0,151.5890600132626,82.64442255684263,38.57142884188552,1.6903084191697209,70.42857137622103,0.3779644606301247,
38,38,74.68252667094352,7.731281911562291,74.0,71.0,223.06720159151195,112.65558068471128,45.11111118053569,1.4529662735643851,67.99999998903823,0.2581988788313383,
39,39,72.7592962197353,7.5543045284212695,72.0,69.0,193.02823773209548,103.48496004177103,43.71428573340942,1.558387487829426,70.61904761583676,0.30860671312722443,
40,40,72.83538859980517,6.301827767452721,72.0,71.0,235.97004310344826,114.35768142538156,44.55555555564846,1.4529663639511885,65.53333333347408,0.2581988934769845,
