XYDATA;LYSO.jws
494,0000;5458,41
494,5000;5343,03
495,0000;5247,25
495,5000;5207,04
496,0000;5086,33
496,5000;5007,64
497,0000;4865,8
497,5000;4828,6
498,0000;4736,96
498,5000;4657,41
499,0000;4574,03
499,5000;4464,86
500,0000;4407,75
500,5000;4363,45
501,0000;4267,47
501,5000;4210,53
502,0000;4130,75
502,5000;4102,78
503,0000;4002,06
503,5000;3967,85
504,0000;3867,3
504,5000;3843,7
505,0000;3774,82
505,5000;3714,75
506,0000;3703,49
506,5000;3612,33
507,0000;3597,3
507,5000;3532,33
508,0000;3465,96
508,5000;3463,72
509,0000;3400,45
509,5000;3379,78
510,0000;3357,66
510,5000;3314,15
511,0000;3269,98
511,5000;3236,55
512,0000;3218,95
512,5000;3177,25
513,0000;3122,19
513,5000;3110,41
514,0000;3067
514,5000;3048,69
515,0000;3000,94
515,5000;2972,59
516,0000;2934,85
516,5000;2931,68
517,0000;2898,69
517,5000;2865,2
518,0000;2859,25
518,5000;2797,53
519,0000;2794,6
519,5000;2775,79
520,0000;2761,38
520,5000;2753,34
521,0000;2749,58
521,5000;2724,96
522,0000;2669,12
522,5000;2671,07
523,0000;2673,52
523,5000;2661
524,0000;2648,91
524,5000;2602,92
525,0000;2615,82
525,5000;2604,76
526,0000;2591,36
526,5000;2598,31
527,0000;2577,48
527,5000;2583,21
528,0000;2573,44
528,5000;2511,67
529,0000;2510,81
529,5000;2522,85
530,0000;2531,22
530,5000;2477,67
531,0000;2452,13
531,5000;2453,4
532,0000;2416,48
532,5000;2440,71
533,0000;2457,27
533,5000;2413,47
534,0000;2403,48
534,5000;2391,73
535,0000;2346,81
535,5000;2331,06
536,0000;2328,5
536,5000;2316,63
537,0000;2330,7
537,5000;2304,59
538,0000;2261,24
538,5000;2251,24
539,0000;2215,43
539,5000;2236,82
540,0000;2214,03
540,5000;2166,77
541,0000;2155,73
541,5000;2128,46
542,0000;2134,04
542,5000;2106,23
543,0000;2114,21
543,5000;2041,26
544,0000;2049,26
544,5000;2030,5
545,0000;2022,74
545,5000;2025,27
546,0000;1962,97
546,5000;1951,11
547,0000;1917,29
547,5000;1895,57
548,0000;1922,95
548,5000;1880,69
549,0000;1836,93
549,5000;1855,69
550,0000;1849,31
550,5000;1801,49
551,0000;1785,27
551,5000;1771,63
552,0000;1733,88
552,5000;1742,31
553,0000;1722,52
553,5000;1688,02
554,0000;1683,32
554,5000;1672,14
555,0000;1662,04
555,5000;1635,4
556,0000;1630,44
556,5000;1584,41
557,0000;1540,56
557,5000;1560,48
558,0000;1542,64
558,5000;1530,56
559,0000;1499,86
559,5000;1498,78
560,0000;1461,92
560,5000;1441,08
561,0000;1435,33
561,5000;1433,92
562,0000;1390,53
562,5000;1383,15
563,0000;1368,03
563,5000;1343,67
564,0000;1331,98
564,5000;1333,14
565,0000;1292,06
565,5000;1285,39
566,0000;1278,14
566,5000;1294,57
567,0000;1248,39
567,5000;1238,58
568,0000;1225,25
568,5000;1194,19
569,0000;1189,16
569,5000;1158,53
570,0000;1156,25
570,5000;1144,98
571,0000;1117,76
571,5000;1114,38
572,0000;1103,48
572,5000;1097,42
573,0000;1049,27
573,5000;1069,71
574,0000;1023,72
574,5000;1031,58
575,0000;1011,18
575,5000;1004,47
576,0000;997,928
576,5000;975,18
577,0000;954,016
577,5000;949,691
578,0000;936,291
578,5000;942,035
579,0000;904,818
579,5000;898,3
580,0000;887,114
580,5000;855,788
581,0000;858,605
581,5000;846,243
