XYDATA;GAGG_medium_440nm.jws
320,0000;-0,0796162
320,5000;-0,0843488
321,0000;-0,0832634
321,5000;-0,0978965
322,0000;-0,0883111
322,5000;-0,102253
323,0000;-0,0620089
323,5000;-0,117356
324,0000;-0,112279
324,5000;-0,111452
325,0000;-0,0358128
325,5000;-0,0979978
326,0000;-0,0749505
326,5000;-0,105044
327,0000;-0,0897892
327,5000;-0,101512
328,0000;-0,114345
328,5000;-0,0930266
329,0000;-0,0739493
329,5000;-0,0406878
330,0000;-0,115243
330,5000;-0,10716
331,0000;-0,098609
331,5000;-0,102453
332,0000;-0,0694979
332,5000;-0,120598
333,0000;-0,0310312
333,5000;-0,0444225
334,0000;-0,11875
334,5000;-0,0771114
335,0000;-0,0342557
335,5000;-0,0719047
336,0000;-0,069937
336,5000;-0,127937
337,0000;-0,0789844
337,5000;-0,0825333
338,0000;-0,0662696
338,5000;-0,0471946
339,0000;-0,0927558
339,5000;-0,086788
340,0000;-0,104612
340,5000;-0,0803722
341,0000;-0,134578
341,5000;-0,0962658
342,0000;-0,0981432
342,5000;-0,0828567
343,0000;-0,113533
343,5000;-0,106073
344,0000;-0,0821023
344,5000;-0,125994
345,0000;-0,066387
345,5000;-0,094725
346,0000;-0,113283
346,5000;-0,118533
347,0000;-0,0542171
347,5000;-0,0879241
348,0000;-0,0969456
348,5000;-0,10517
349,0000;-0,0609441
349,5000;-0,0951872
350,0000;-0,113479
350,5000;-0,0775992
351,0000;-0,0943029
351,5000;-0,101659
352,0000;-0,0922411
352,5000;-0,101048
353,0000;-0,0964228
353,5000;-0,0975535
354,0000;-0,0916813
354,5000;-0,0966273
355,0000;-0,0800395
355,5000;-0,0962052
356,0000;-0,109155
356,5000;-0,089344
357,0000;-0,0909454
357,5000;-0,0819809
358,0000;-0,0930195
358,5000;-0,0930712
359,0000;-0,101755
359,5000;-0,09241
360,0000;-0,0702804
360,5000;-0,149197
361,0000;-0,11508
361,5000;-0,095994
362,0000;-0,0301572
362,5000;-0,0925481
363,0000;-0,0989103
363,5000;-0,146728
364,0000;-0,095483
364,5000;-0,0916957
365,0000;-0,108605
365,5000;-0,0931857
366,0000;-0,109021
366,5000;-0,130415
367,0000;-0,122232
367,5000;-0,0666173
368,0000;-0,0968122
368,5000;-0,128218
369,0000;-0,0923818
369,5000;-0,078306
370,0000;-0,0735977
370,5000;-0,0602017
371,0000;-0,114469
371,5000;-0,126449
372,0000;-0,070691
372,5000;-0,126748
373,0000;-0,0873068
373,5000;-0,135869
374,0000;-0,116699
374,5000;-0,113204
375,0000;-0,115798
375,5000;-0,109442
376,0000;-0,117332
376,5000;-0,100005
377,0000;-0,126939
377,5000;-0,0944786
378,0000;-0,0935245
378,5000;-0,106232
379,0000;-0,0909178
379,5000;-0,0921337
380,0000;-0,0850543
380,5000;-0,0739792
381,0000;-0,107231
381,5000;-0,0935807
382,0000;-0,0879999
382,5000;-0,0907096
383,0000;-0,113602
383,5000;-0,121311
384,0000;-0,103605
384,5000;-0,131191
385,0000;-0,0555801
385,5000;-0,120349
386,0000;-0,0943485
386,5000;-0,0413878
387,0000;-0,135186
387,5000;-0,0868619
388,0000;-0,100458
388,5000;-0,098433
389,0000;-0,0927187
389,5000;-0,0729097
390,0000;-0,0994676
390,5000;-0,0851534
391,0000;-0,085074
391,5000;-0,088086
392,0000;-0,0930317
392,5000;-0,112711
393,0000;-0,0777616
393,5000;-0,0864909
394,0000;-0,0604161
394,5000;-0,089647
395,0000;-0,0579345
395,5000;-0,12258
396,0000;-0,105617
396,5000;-0,121323
397,0000;-0,131987
397,5000;-0,138365
398,0000;-0,0987068
398,5000;-0,0877392
399,0000;-0,0855709
399,5000;-0,0947473
400,0000;-0,0993728
400,5000;-0,127952
401,0000;-0,131061
401,5000;-0,129813
402,0000;-0,0953503
402,5000;-0,129124
403,0000;-0,131364
403,5000;-0,12917
404,0000;-0,0794549
404,5000;-0,0776615
405,0000;-0,103561
405,5000;-0,0919139
406,0000;-0,127087
406,5000;-0,121489
407,0000;-0,11854
407,5000;-0,102187
408,0000;-0,11363
408,5000;-0,0922979
409,0000;-0,102115
409,5000;-0,116119
410,0000;-0,118721
410,5000;-0,127957
411,0000;-0,123962
411,5000;-0,126712
412,0000;-0,1332
412,5000;-0,133701
413,0000;-0,116305
413,5000;-0,128308
414,0000;-0,0742864
414,5000;-0,148243
415,0000;-0,121707
415,5000;-0,116803
416,0000;-0,0804462
416,5000;-0,0980682
417,0000;-0,116476
417,5000;-0,111144
418,0000;-0,119547
418,5000;-0,100305
419,0000;-0,0832599
419,5000;-0,111752
420,0000;-0,121189
420,5000;-0,131772
421,0000;-0,119841
421,5000;-0,125141
422,0000;-0,113029
422,5000;-0,157576
423,0000;-0,0881861
423,5000;-0,115708
424,0000;-0,0962357
424,5000;-0,111619
425,0000;-0,114743
425,5000;-0,110242
426,0000;-0,127476
426,5000;-0,126279
427,0000;-0,109489
427,5000;-0,114867
428,0000;-0,10147
428,5000;-0,119601
429,0000;-0,0853823
429,5000;-0,11823
430,0000;-0,0764213
430,5000;-0,131171
431,0000;-0,11246
431,5000;-0,12896
432,0000;-0,0827196
432,5000;-0,11484
433,0000;-0,12356
433,5000;-0,106249
434,0000;-0,0722815
434,5000;-0,0307475
435,0000;-0,0301296
435,5000;0,00989044
436,0000;0,0573028
436,5000;0,067023
437,0000;0,154192
437,5000;0,30298
438,0000;0,268807
438,5000;0,268955
439,0000;0,317643
439,5000;0,298068
440,0000;0,393619
440,5000;0,326558
441,0000;0,307687
441,5000;0,261309
442,0000;0,210787
442,5000;0,125723
443,0000;0,140815
443,5000;0,0701825
444,0000;0,0220828
444,5000;-0,0334051
445,0000;0,0266928
445,5000;-0,0765087
446,0000;-0,0717298
446,5000;-0,087522
447,0000;-0,084826
447,5000;-0,117978
448,0000;-0,123473
448,5000;-0,119052
449,0000;-0,105795
449,5000;-0,0796518
450,0000;-0,0822321
450,5000;-0,0815886
451,0000;-0,0950646
451,5000;-0,0961581
452,0000;-0,0825553
452,5000;-0,0860125
453,0000;-0,121606
453,5000;-0,0770116
454,0000;-0,106839
454,5000;-0,109423
455,0000;-0,0986317
455,5000;-0,0610852
456,0000;-0,0581453
456,5000;-0,0805354
457,0000;-0,0842742
457,5000;-0,0710195
458,0000;-0,0654085
458,5000;-0,0551965
459,0000;0,0274668
459,5000;0,0331827
460,0000;-0,0155728
460,5000;0,0168877
461,0000;0,0186813
461,5000;0,0668876
462,0000;0,0708063
462,5000;0,128561
463,0000;0,171831
463,5000;0,121663
464,0000;0,209023
464,5000;0,240162
465,0000;0,254166
465,5000;0,263975
466,0000;0,324526
466,5000;0,434028
467,0000;0,405502
467,5000;0,444049
468,0000;0,534296
468,5000;0,545636
469,0000;0,642512
469,5000;0,659975
470,0000;0,720812
470,5000;0,868214
471,0000;0,955536
471,5000;0,931397
472,0000;1,21873
472,5000;1,27791
473,0000;1,38995
473,5000;1,59403
474,0000;1,62593
474,5000;1,82563
475,0000;2,11452
475,5000;2,38625
476,0000;2,52421
476,5000;2,75621
477,0000;3,11988
477,5000;3,24661
478,0000;3,75437
478,5000;4,09918
479,0000;4,53715
479,5000;5,06125
480,0000;5,60259
480,5000;6,24519
481,0000;6,98381
481,5000;7,8421
482,0000;8,4789
482,5000;9,26427
483,0000;10,3294
483,5000;11,4887
484,0000;12,3441
484,5000;13,706
485,0000;15,1758
485,5000;16,8938
486,0000;18,1389
486,5000;19,9798
487,0000;22,2814
487,5000;24,1545
488,0000;25,9711
488,5000;28,2722
489,0000;30,5549
489,5000;33,2133
490,0000;35,5751
490,5000;38,7127
491,0000;41,8122
491,5000;45,8331
492,0000;48,7746
492,5000;51,1124
493,0000;54,4531
493,5000;58,3282
494,0000;61,4461
494,5000;64,4515
495,0000;68,3399
495,5000;72,3725
496,0000;75,5646
496,5000;79,2351
497,0000;83,1127
