XYDATA;LYSO_medium.jws
479,5000;548,379
480,0000;543,944
480,5000;538,71
481,0000;528,4
481,5000;519,43
482,0000;515,219
482,5000;509,092
483,0000;504,868
483,5000;499,247
484,0000;493,433
484,5000;486,203
485,0000;479,602
485,5000;475,991
486,0000;473,118
486,5000;466,738
487,0000;463,419
487,5000;457,377
488,0000;450,964
488,5000;443,938
489,0000;446,041
489,5000;438,171
490,0000;433,224
490,5000;429,012
491,0000;425,153
491,5000;416,518
492,0000;411,298
492,5000;406,958
493,0000;398,743
493,5000;395,701
494,0000;387,446
494,5000;378,629
495,0000;372,732
495,5000;367,361
496,0000;356,883
496,5000;357,233
497,0000;348,499
497,5000;340,839
498,0000;335,062
498,5000;327,46
499,0000;322,203
499,5000;316,929
500,0000;309,441
500,5000;306,104
501,0000;302,741
501,5000;295,694
502,0000;290,511
502,5000;287,749
503,0000;279,95
503,5000;276,446
504,0000;272,533
504,5000;266,758
505,0000;263,616
505,5000;261,403
506,0000;257,267
506,5000;253,245
507,0000;250,437
507,5000;248,084
508,0000;246,15
508,5000;242,844
509,0000;240,749
509,5000;234,056
510,0000;234,164
510,5000;229,739
511,0000;227,899
511,5000;226,177
512,0000;224,128
512,5000;221,337
513,0000;219,745
513,5000;215,734
514,0000;214,729
514,5000;209,525
515,0000;212,296
515,5000;208,761
516,0000;205,738
516,5000;205,298
517,0000;202,73
517,5000;200,161
518,0000;199,4
518,5000;197,307
519,0000;197,244
519,5000;193,917
520,0000;192,93
520,5000;192,95
521,0000;188,525
521,5000;186,792
522,0000;186,923
522,5000;186,732
523,0000;184,851
523,5000;185,982
524,0000;183,941
524,5000;184,514
525,0000;182,272
525,5000;181,813
526,0000;180,991
526,5000;180,845
527,0000;180,216
527,5000;179,396
528,0000;178,297
528,5000;178,386
529,0000;176,791
529,5000;175,017
530,0000;175,421
530,5000;173,879
531,0000;173,195
531,5000;172,189
532,0000;171,496
532,5000;169,296
533,0000;170,724
533,5000;168,345
534,0000;167,91
534,5000;166,782
535,0000;164,174
535,5000;164,025
536,0000;162,813
536,5000;162,788
537,0000;162,059
537,5000;161,463
538,0000;158,708
538,5000;158,102
539,0000;156,475
539,5000;154,629
540,0000;154,083
540,5000;149,79
541,0000;148,534
541,5000;149,717
542,0000;145,962
542,5000;148,661
543,0000;143,922
543,5000;146,394
544,0000;144,01
544,5000;140,476
545,0000;140,32
545,5000;137,619
546,0000;138,661
546,5000;137,039
547,0000;130,703
547,5000;132,194
548,0000;131,405
548,5000;129,692
549,0000;130,06
549,5000;128,167
550,0000;127,26
550,5000;125,949
551,0000;124,389
551,5000;123,761
552,0000;122,339
552,5000;120,963
553,0000;119,775
553,5000;117,775
554,0000;118,236
554,5000;117,872
555,0000;114,668
555,5000;111,591
556,0000;113,14
556,5000;110,815
557,0000;109,825
557,5000;107,7
558,0000;105,782
558,5000;104,931
559,0000;105,553
559,5000;104,247
560,0000;102,422
560,5000;99,9172
561,0000;100,616
561,5000;98,6426
562,0000;96,6804
562,5000;94,9844
563,0000;94,7041
563,5000;93,4164
564,0000;91,3519
564,5000;91,7117
565,0000;89,484
565,5000;87,6961
566,0000;85,9451
566,5000;86,2826
567,0000;86,3363
567,5000;84,4622
568,0000;83,3275
568,5000;84,1694
569,0000;79,9423
569,5000;80,0127
570,0000;79,5389
570,5000;78,2864
571,0000;78,0308
571,5000;75,1073
572,0000;74,5581
572,5000;73,7786
573,0000;72,008
573,5000;72,3553
574,0000;72,5676
574,5000;71,4651
575,0000;67,905
575,5000;69,2531
576,0000;68,1338
576,5000;66,7467
577,0000;66,723
577,5000;67,8493
578,0000;65,3425
578,5000;62,286
579,0000;62,5987
579,5000;61,6783
580,0000;59,6985
580,5000;58,7676
581,0000;59,5352
581,5000;58,4738
582,0000;56,6219
582,5000;57,6991
583,0000;56,1972
583,5000;54,201
584,0000;53,4584
584,5000;52,3268
585,0000;52,1246
585,5000;51,2408
586,0000;50,902
586,5000;50,1424
587,0000;50,2138
587,5000;49,2502
588,0000;47,7964
588,5000;46,9652
589,0000;46,709
589,5000;45,6798
590,0000;44,9823
590,5000;42,8912
591,0000;44,1817
591,5000;42,8855
592,0000;43,0434
592,5000;41,4194
593,0000;40,4252
593,5000;40,0913
594,0000;39,8842
594,5000;38,6425
595,0000;39,0174
595,5000;38,6877
596,0000;37,5904
596,5000;37,2834
597,0000;37,2707
597,5000;34,5401
598,0000;35,1183
598,5000;35,0601
599,0000;34,2851
599,5000;33,9755
600,0000;32,85
600,5000;33,0733
601,0000;31,6012
601,5000;31,1696
602,0000;31,265
602,5000;31,1987
603,0000;30,1453
603,5000;28,8306
604,0000;28,4998
604,5000;29,0143
605,0000;28,61
605,5000;28,5448
606,0000;26,3702
606,5000;26,9421
607,0000;26,881
607,5000;26,3745
608,0000;25,2014
608,5000;26,0574
609,0000;24,6646
609,5000;24,6047
610,0000;23,3979
610,5000;23,2581
611,0000;23,5079
611,5000;22,8552
612,0000;21,8675
612,5000;22,7143
613,0000;22,1675
613,5000;21,5959
614,0000;20,7814
614,5000;21,1705
615,0000;21,3539
615,5000;20,4181
616,0000;19,8431
616,5000;19,9125
617,0000;19,9914
617,5000;18,8865
618,0000;18,771
618,5000;18,7435
619,0000;17,7002
619,5000;17,5485
620,0000;17,2647
620,5000;16,8356
621,0000;17,151
621,5000;16,2269
622,0000;16,7495
622,5000;16,394
623,0000;15,1334
623,5000;14,2501
624,0000;14,6491
624,5000;14,923
625,0000;14,6556
625,5000;14,3159
626,0000;14,73
626,5000;13,7378
627,0000;13,4595
627,5000;13,2068
628,0000;12,9029
628,5000;13,0084
629,0000;12,788
629,5000;12,6635
630,0000;12,0645
630,5000;11,7222
631,0000;11,7327
631,5000;11,1325
632,0000;11,6392
632,5000;11,4005
633,0000;10,81
633,5000;10,4679
634,0000;10,4297
634,5000;9,73783
635,0000;9,86336
635,5000;9,69653
636,0000;9,68612
636,5000;10,0524
637,0000;9,38925
637,5000;8,82782
638,0000;9,09232
638,5000;8,54737
639,0000;8,21734
639,5000;8,54179
640,0000;8,41349
640,5000;8,4769
641,0000;8,12209
641,5000;7,71855
642,0000;7,96566
642,5000;8,14292
643,0000;7,31408
643,5000;7,0996
644,0000;7,0421
644,5000;6,9815
645,0000;6,61146
645,5000;6,78077
646,0000;6,04905
646,5000;6,62819
647,0000;6,23408
647,5000;5,89861
648,0000;6,04411
648,5000;5,67077
649,0000;5,86459
649,5000;5,99972
650,0000;5,39511
650,5000;5,55103
651,0000;5,63401
651,5000;4,98936
652,0000;5,04064
652,5000;4,86723
653,0000;4,93899
653,5000;5,62206
654,0000;5,23849
654,5000;4,76921
655,0000;4,75022
655,5000;4,1674
656,0000;4,24662
656,5000;4,29243
657,0000;3,94541
657,5000;4,47906
658,0000;4,37545
658,5000;4,12822
659,0000;3,76659
659,5000;4,40574
660,0000;3,42805
660,5000;3,70376
661,0000;3,39005
661,5000;3,50228
662,0000;3,20884
662,5000;3,21646
663,0000;3,42078
663,5000;3,59994
664,0000;3,21625
664,5000;3,22888
665,0000;3,39879
665,5000;3,23844
666,0000;2,72046
666,5000;2,8391
667,0000;2,88712
667,5000;2,86975
668,0000;2,52999
668,5000;2,48393
669,0000;2,45097
669,5000;2,67543
670,0000;2,21317
670,5000;2,48179
671,0000;2,27193
671,5000;2,14272
672,0000;2,39485
672,5000;2,23426
673,0000;2,24533
673,5000;1,9669
674,0000;1,79148
674,5000;1,74766
675,0000;1,88099
675,5000;1,90152
676,0000;1,90478
676,5000;1,87588
677,0000;1,59759
677,5000;1,78872
678,0000;1,56815
678,5000;1,73961
679,0000;1,67764
679,5000;1,40355
680,0000;1,52674
680,5000;1,51021
681,0000;1,45746
681,5000;1,17035
682,0000;1,20562
682,5000;1,34985
683,0000;1,17147
683,5000;1,33395
684,0000;1,09603
684,5000;1,07871
685,0000;1,2445
685,5000;1,01546
686,0000;1,12826
686,5000;1,0519
687,0000;0,953305
687,5000;0,981173
688,0000;0,802991
688,5000;0,775529
689,0000;0,823236
689,5000;0,793812
690,0000;0,956573
690,5000;0,663927
691,0000;0,600948
691,5000;0,526079
692,0000;0,812923
692,5000;0,815169
693,0000;0,464594
693,5000;0,499237
694,0000;0,467602
694,5000;0,348294
695,0000;0,484563
695,5000;0,39084
696,0000;0,492281
696,5000;0,327037
697,0000;0,522089
697,5000;0,427056
698,0000;0,243156
698,5000;0,343886
699,0000;0,199511
699,5000;0,305874
700,0000;0,319559
700,5000;0,262541
701,0000;0,231285
701,5000;0,323707
702,0000;0,217945
702,5000;0,091682
703,0000;0,13051
703,5000;-0,109931
704,0000;-0,0516364
704,5000;0,0634347
705,0000;0,029302
705,5000;0,168775
706,0000;-0,085985
706,5000;-0,104315
707,0000;-0,100265
707,5000;0,0851099
708,0000;0,148276
708,5000;-0,0401446
709,0000;-0,10574
709,5000;0,0129006
710,0000;-0,0321617
710,5000;0,046035
711,0000;-0,0123717
711,5000;-0,141036
712,0000;-0,286357
712,5000;-0,114912
713,0000;-0,178979
713,5000;-0,0843996
714,0000;-0,0044728
714,5000;-0,21895
715,0000;-0,207801
715,5000;-0,176315
716,0000;-0,116046
716,5000;-0,40778
717,0000;-0,324423
717,5000;-0,245264
718,0000;-0,264086
718,5000;-0,183911
719,0000;-0,315656
719,5000;-0,266939
720,0000;-0,309064
720,5000;-0,383736
721,0000;-0,321434
721,5000;-0,355975
722,0000;-0,270262
722,5000;-0,422313
723,0000;-0,371686
723,5000;-0,385576
724,0000;-0,473382
724,5000;-0,451116
725,0000;-0,443675
725,5000;-0,353609
726,0000;-0,480332
726,5000;-0,328124
727,0000;-0,391088
727,5000;-0,49562
728,0000;-0,363224
728,5000;-0,484561
729,0000;-0,446869
729,5000;-0,500205
730,0000;-0,542117
730,5000;-0,516885
731,0000;-0,561647
731,5000;-0,437866
732,0000;-0,483798
732,5000;-0,433691
733,0000;-0,577073
733,5000;-0,545002
734,0000;-0,509606
734,5000;-0,595581
735,0000;-0,537732
735,5000;-0,610115
736,0000;-0,584077
736,5000;-0,557286
737,0000;-0,505459
737,5000;-0,546182
738,0000;-0,647391
738,5000;-0,446787
739,0000;-0,571659
739,5000;-0,561128
740,0000;-0,55521
740,5000;-0,614438
741,0000;-0,553154
741,5000;-0,738919
742,0000;-0,589845
742,5000;-0,685085
743,0000;-0,664425
743,5000;-0,635017
744,0000;-0,603531
744,5000;-0,719131
745,0000;-0,565246
745,5000;-0,692983
746,0000;-0,708825
746,5000;-0,655024
747,0000;-0,670826
747,5000;-0,70205
748,0000;-0,703684
748,5000;-0,677687
749,0000;-0,77192
749,5000;-0,627633
750,0000;-0,721007
750,5000;-0,737064
751,0000;-0,652569
751,5000;-0,747853
752,0000;-0,74507
752,5000;-0,590676
753,0000;-0,548192
753,5000;-0,634877
754,0000;-0,680389
754,5000;-0,666856
755,0000;-0,72612
755,5000;-0,804153
756,0000;-0,748512
756,5000;-0,76211
757,0000;-0,694249
757,5000;-0,692625
758,0000;-0,722357
758,5000;-0,699706
759,0000;-0,762386
759,5000;-0,712577
760,0000;-0,664701
760,5000;-0,719377
761,0000;-0,768004
761,5000;-0,678054
762,0000;-0,774191
762,5000;-0,718512
763,0000;-0,651479
763,5000;-0,698696
764,0000;-0,757175
764,5000;-0,733183
765,0000;-0,716764
765,5000;-0,715185
766,0000;-0,623685
766,5000;-0,723695
767,0000;-0,671337
767,5000;-0,668207
768,0000;-0,824268
768,5000;-0,771197
769,0000;-0,664172
769,5000;-0,814153
770,0000;-0,701107
770,5000;-0,817976
771,0000;-0,767504
771,5000;-0,75943
772,0000;-0,714984
772,5000;-0,692653
773,0000;-0,827768
773,5000;-0,780682
774,0000;-0,617585
774,5000;-0,758791
775,0000;-0,925915
775,5000;-0,756463
776,0000;-0,73936
776,5000;-0,817555
777,0000;-0,80919
777,5000;-0,727738
778,0000;-0,80516
778,5000;-0,794421
779,0000;-0,722265
779,5000;-0,755993
780,0000;-0,720608
780,5000;-0,693794
781,0000;-0,779292
781,5000;-0,861376
782,0000;-0,757524
782,5000;-0,708056
783,0000;-0,790564
783,5000;-0,728604
784,0000;-0,834578
784,5000;-0,843447
785,0000;-0,840968
785,5000;-0,809338
786,0000;-0,801118
786,5000;-0,774077
787,0000;-0,664033
787,5000;-0,71634
788,0000;-0,832999
788,5000;-0,819559
789,0000;-0,576409
789,5000;-0,699929
790,0000;-0,849416
790,5000;-0,747025
791,0000;-0,763453
791,5000;-0,816447
792,0000;-0,794311
792,5000;-0,835319
793,0000;-0,77153
793,5000;-0,8482
794,0000;-0,724202
794,5000;-0,81276
795,0000;-0,747931
795,5000;-0,820525
796,0000;-0,790346
796,5000;-0,861021
797,0000;-0,724078
797,5000;-0,798746
798,0000;-0,682766
798,5000;-0,675502
799,0000;-0,746078
799,5000;-0,790169
800,0000;-0,736915
800,5000;-0,694321
801,0000;-0,782194
801,5000;-0,769202
802,0000;-0,757376
802,5000;-0,728911
803,0000;-0,747403
803,5000;-0,621367
804,0000;-0,761131
804,5000;-0,869885
805,0000;-0,696373
805,5000;-0,596301
806,0000;-0,807163
806,5000;-0,672788
807,0000;-0,782633
807,5000;-0,802807
808,0000;-0,769215
808,5000;-0,786058
809,0000;-0,792426
809,5000;-0,732667
810,0000;-0,804226
810,5000;-0,661103
811,0000;-0,829621
811,5000;-0,812167
812,0000;-0,717974
812,5000;-0,715759
813,0000;-0,809654
813,5000;-0,814479
814,0000;-0,744814
814,5000;-0,843258
815,0000;-0,778684
815,5000;-0,857536
816,0000;-0,766656
816,5000;-0,893148
817,0000;-0,596491
817,5000;-0,754046
818,0000;-0,761468
818,5000;-0,71724
819,0000;-0,744827
819,5000;-0,846702
820,0000;-0,761032
820,5000;-0,764377
821,0000;-0,658087
821,5000;-0,760963
822,0000;-0,532746
822,5000;-0,765732
823,0000;-0,733337
823,5000;-0,748603
824,0000;-0,7129
824,5000;-0,705321
825,0000;-0,774524
825,5000;-0,869082
826,0000;-0,797435
826,5000;-0,670468
827,0000;-0,810398
827,5000;-0,614705
828,0000;-0,725368
