XYDATA;GAGG_medium_300nm.jws
464,5000;-0,897461
465,0000;-0,872653
465,5000;-0,903722
466,0000;-0,958807
466,5000;-0,973769
467,0000;-0,827376
467,5000;-0,913008
468,0000;-0,908471
468,5000;-0,92585
469,0000;-0,846495
469,5000;-0,900939
470,0000;-0,835635
470,5000;-0,93935
471,0000;-0,857436
471,5000;-0,880157
472,0000;-0,823452
472,5000;-0,835449
473,0000;-0,843699
473,5000;-0,870797
474,0000;-0,847525
474,5000;-0,893875
475,0000;-0,844304
475,5000;-0,764186
476,0000;-0,772655
476,5000;-0,861803
477,0000;-0,839018
477,5000;-0,81834
478,0000;-0,780817
478,5000;-0,728487
479,0000;-0,711418
479,5000;-0,792717
480,0000;-0,696502
480,5000;-0,619536
481,0000;-0,560086
481,5000;-0,532543
482,0000;-0,518662
482,5000;-0,474971
483,0000;-0,42731
483,5000;-0,195968
484,0000;-0,245341
484,5000;-0,233933
485,0000;-0,261822
485,5000;-0,128203
486,0000;0,0199246
486,5000;0,0359648
487,0000;0,102587
487,5000;0,37255
488,0000;0,289163
488,5000;0,598049
489,0000;0,511463
489,5000;0,645774
490,0000;0,82537
490,5000;0,91744
491,0000;1,27334
491,5000;1,19091
492,0000;1,44901
492,5000;1,78412
493,0000;1,83157
493,5000;1,73157
494,0000;2,06821
494,5000;2,22441
495,0000;2,44555
495,5000;2,67229
496,0000;2,70168
496,5000;3,13168
497,0000;2,77457
497,5000;3,45862
498,0000;3,3886
498,5000;3,08135
499,0000;3,52738
499,5000;4,0351
500,0000;4,0579
500,5000;4,19837
501,0000;4,52502
501,5000;4,86649
502,0000;4,75051
502,5000;4,88698
503,0000;5,11181
503,5000;5,05003
504,0000;5,28187
504,5000;5,11362
505,0000;5,61707
505,5000;5,7961
506,0000;6,25558
506,5000;6,10765
507,0000;6,16328
507,5000;7,07131
508,0000;6,83874
508,5000;6,77328
509,0000;7,31164
509,5000;6,88223
510,0000;7,05241
510,5000;7,21337
511,0000;7,66865
511,5000;8,11468
512,0000;8,37418
512,5000;8,00265
513,0000;8,84508
513,5000;8,90884
514,0000;8,96372
514,5000;9,10834
515,0000;9,49629
515,5000;9,94954
516,0000;9,37295
516,5000;9,52228
517,0000;10,3587
517,5000;10,2641
518,0000;10,3244
518,5000;10,6705
519,0000;11,3187
519,5000;11,4234
520,0000;11,7117
520,5000;11,4067
521,0000;12,1522
521,5000;12,5008
522,0000;12,6576
522,5000;12,8521
523,0000;13,1588
523,5000;13,1113
524,0000;13,827
524,5000;13,8818
525,0000;14,7682
525,5000;14,7711
526,0000;14,5165
526,5000;16,0003
527,0000;15,4595
527,5000;15,9406
528,0000;16,3185
528,5000;17,1195
529,0000;16,7651
529,5000;17,5645
530,0000;17,3073
530,5000;18,066
531,0000;18,0354
531,5000;18,8216
532,0000;18,7404
532,5000;20,12
533,0000;19,7023
533,5000;19,762
534,0000;19,9905
534,5000;20,2908
535,0000;20,6102
535,5000;20,5655
536,0000;21,6062
536,5000;20,4166
