XYDATA;PWO_320_900nm.jws
480,5000;27,6658
481,0000;32,0696
481,5000;26,4221
482,0000;28,6862
482,5000;26,3631
483,0000;27,3309
483,5000;23,5616
484,0000;26,0287
484,5000;27,3717
485,0000;26,4369
485,5000;24,5897
486,0000;27,0587
486,5000;29,4183
487,0000;23,831
487,5000;26,9294
488,0000;24,9582
488,5000;22,9551
489,0000;25,5616
489,5000;24,4174
490,0000;25,0692
490,5000;26,8306
491,0000;26,5704
491,5000;24,1302
492,0000;24,955
492,5000;22,6433
493,0000;22,6131
493,5000;28,3707
494,0000;25,281
494,5000;24,3484
495,0000;23,6088
495,5000;22,4943
496,0000;26,1271
496,5000;20,8246
497,0000;22,1086
497,5000;21,4296
498,0000;19,7389
498,5000;19,558
499,0000;20,2049
499,5000;22,2522
500,0000;22,2004
500,5000;20,6839
501,0000;21,218
501,5000;18,3298
502,0000;20,0418
502,5000;20,6603
503,0000;18,9597
503,5000;18,7919
504,0000;17,5664
504,5000;18,2173
505,0000;17,1008
505,5000;18,0138
506,0000;15,7414
506,5000;15,7679
507,0000;16,4632
507,5000;19,6719
508,0000;16,4315
508,5000;14,9116
509,0000;15,3029
509,5000;15,1395
510,0000;15,8821
510,5000;15,9767
511,0000;14,7786
511,5000;15,149
512,0000;16,8395
512,5000;16,1879
513,0000;15,0786
513,5000;16,1199
514,0000;13,2054
514,5000;13,2217
515,0000;14,7647
515,5000;13,8341
516,0000;11,6392
516,5000;14,8365
517,0000;13,0456
517,5000;14,4539
518,0000;14,3803
518,5000;14,7587
519,0000;14,7717
519,5000;14,8892
520,0000;15,2444
520,5000;14,9687
521,0000;14,8138
521,5000;14,4208
522,0000;14,5941
522,5000;13,8168
523,0000;16,1056
523,5000;12,4575
524,0000;14,0737
524,5000;13,5493
525,0000;13,6331
525,5000;12,8359
526,0000;12,1741
526,5000;13,1061
527,0000;12,6979
527,5000;13,8638
528,0000;11,9079
528,5000;11,5566
529,0000;13,5116
529,5000;13,6733
530,0000;13,6562
530,5000;11,8525
531,0000;13,0384
531,5000;13,1452
532,0000;13,5965
532,5000;12,6127
533,0000;11,8521
533,5000;14,6247
534,0000;12,5273
534,5000;12,3656
535,0000;11,2777
535,5000;13,1078
536,0000;12,7989
536,5000;12,4671
537,0000;13,9968
537,5000;10,6885
538,0000;10,4036
538,5000;11,4903
539,0000;14,4672
539,5000;11,7849
540,0000;12,5391
540,5000;10,6009
541,0000;12,8031
541,5000;12,7107
542,0000;13,1302
542,5000;14,5268
543,0000;12,0394
543,5000;12,6491
544,0000;11,2124
544,5000;11,823
545,0000;11,7353
545,5000;11,1527
546,0000;11,9418
546,5000;12,0518
547,0000;10,9992
547,5000;10,0129
548,0000;12,3692
548,5000;10,8313
549,0000;10,0875
549,5000;11,7906
550,0000;10,8366
550,5000;11,2296
551,0000;12,4403
551,5000;11,7317
552,0000;10,3627
552,5000;11,0907
553,0000;10,7922
553,5000;11,556
554,0000;11,4026
554,5000;9,84361
555,0000;9,57771
555,5000;7,99692
556,0000;8,77966
556,5000;10,7595
557,0000;10,2739
557,5000;12,4451
558,0000;9,85658
558,5000;9,98772
559,0000;9,24508
559,5000;10,8015
560,0000;8,23745
560,5000;10,2968
561,0000;8,73642
561,5000;10,8066
562,0000;9,35213
562,5000;8,55758
563,0000;9,77021
563,5000;8,92315
564,0000;8,41825
564,5000;8,68738
565,0000;9,65493
565,5000;10,8739
566,0000;8,26793
566,5000;7,86204
567,0000;8,9008
567,5000;9,62269
568,0000;7,01166
568,5000;10,023
569,0000;6,44845
569,5000;8,85975
570,0000;9,75585
570,5000;9,23274
571,0000;7,82593
571,5000;7,6484
572,0000;6,8955
572,5000;8,14619
573,0000;7,79509
573,5000;8,11458
574,0000;7,86314
574,5000;9,31802
575,0000;7,97876
575,5000;7,13464
576,0000;6,69265
576,5000;6,99248
577,0000;8,79865
577,5000;8,36951
578,0000;9,75004
578,5000;7,4282
579,0000;8,39346
579,5000;8,0332
580,0000;6,94457
580,5000;7,57563
581,0000;8,25002
581,5000;7,82575
582,0000;7,54016
582,5000;7,37813
583,0000;7,68516
583,5000;6,15655
584,0000;5,39028
584,5000;5,82421
585,0000;4,99129
585,5000;4,88467
586,0000;5,25481
586,5000;8,94066
587,0000;7,56302
587,5000;6,80231
588,0000;6,62139
588,5000;6,91401
589,0000;6,02711
589,5000;8,05971
590,0000;5,51278
590,5000;7,13633
591,0000;5,65646
591,5000;6,37444
592,0000;6,46372
592,5000;6,39192
593,0000;7,68129
593,5000;7,27506
594,0000;5,17575
594,5000;5,75168
595,0000;4,64222
595,5000;6,3766
596,0000;5,18668
596,5000;4,44752
597,0000;5,84669
597,5000;3,94522
598,0000;4,94567
598,5000;5,44801
599,0000;4,67769
599,5000;4,00641
600,0000;4,36285
600,5000;5,27345
601,0000;4,9154
601,5000;5,8421
602,0000;5,27101
602,5000;6,55373
603,0000;6,40939
603,5000;4,15384
604,0000;4,65229
604,5000;5,33521
605,0000;5,83945
605,5000;4,64436
606,0000;7,5441
606,5000;4,30125
607,0000;4,30894
607,5000;3,89617
608,0000;3,9313
608,5000;4,60963
609,0000;3,13964
609,5000;4,95711
610,0000;4,46781
610,5000;4,40128
611,0000;4,28744
611,5000;4,30889
612,0000;4,64292
612,5000;4,16523
613,0000;5,35155
613,5000;4,16326
614,0000;3,25733
614,5000;4,31346
615,0000;3,53661
615,5000;4,26648
616,0000;4,29265
616,5000;5,79924
617,0000;4,73122
617,5000;4,78597
618,0000;4,77798
618,5000;4,05403
619,0000;4,7969
619,5000;4,29501
620,0000;3,86906
620,5000;3,31847
621,0000;3,86254
621,5000;4,98404
622,0000;3,02331
622,5000;4,05205
623,0000;3,99661
623,5000;4,59929
624,0000;4,28549
624,5000;4,99953
625,0000;3,28485
625,5000;3,82807
626,0000;3,73657
626,5000;3,84595
627,0000;3,23775
627,5000;2,85631
628,0000;3,71003
628,5000;3,98627
629,0000;3,05841
629,5000;2,65637
630,0000;3,26716
630,5000;3,38556
631,0000;2,92127
631,5000;3,53184
632,0000;2,93707
632,5000;3,58888
633,0000;2,99678
633,5000;4,45275
634,0000;4,45246
634,5000;3,67576
635,0000;3,43645
635,5000;3,11968
636,0000;2,6788
636,5000;2,75229
637,0000;1,95825
637,5000;2,29401
638,0000;2,60086
638,5000;2,47661
639,0000;2,02661
639,5000;3,7332
640,0000;2,88027
640,5000;2,35388
641,0000;3,30424
641,5000;1,63036
