XYDATA;BSO.jws
483,5000;4225,2
484,0000;4189,69
484,5000;4174,43
485,0000;4166,89
485,5000;4148,29
486,0000;4155,44
486,5000;4144,71
487,0000;4120,01
487,5000;4126,33
488,0000;4171,09
488,5000;4114,38
489,0000;4077,1
489,5000;4090,78
490,0000;4096,73
490,5000;4050,23
491,0000;4042,49
491,5000;4026,18
492,0000;3990,72
492,5000;3969,44
493,0000;3879,06
493,5000;3812,48
494,0000;3800,61
494,5000;3766,36
495,0000;3708,8
495,5000;3689,13
496,0000;3625,09
496,5000;3555,77
497,0000;3500,89
497,5000;3504,74
498,0000;3420,88
498,5000;3366,22
499,0000;3281,49
499,5000;3287,88
500,0000;3244,9
500,5000;3211,51
501,0000;3157,67
501,5000;3126,01
502,0000;3057,75
502,5000;3033,72
503,0000;3049,04
503,5000;2986,61
504,0000;2964,72
504,5000;2932,51
505,0000;2929,39
505,5000;2873,93
506,0000;2882,16
506,5000;2862,36
507,0000;2823,33
507,5000;2827,65
508,0000;2806,22
508,5000;2763,91
509,0000;2769,49
509,5000;2753,54
510,0000;2781,05
510,5000;2767,48
511,0000;2727,43
511,5000;2741,99
512,0000;2706,28
512,5000;2716,02
513,0000;2699,88
513,5000;2720,31
514,0000;2698,47
514,5000;2689,66
515,0000;2705,28
515,5000;2674,05
516,0000;2683,54
516,5000;2693,61
517,0000;2666,9
517,5000;2680,05
518,0000;2663,83
518,5000;2656,58
519,0000;2660,41
519,5000;2655,5
520,0000;2645,2
520,5000;2660,12
521,0000;2684,4
521,5000;2686,29
522,0000;2683,37
522,5000;2692,04
523,0000;2688,24
523,5000;2712,66
524,0000;2700,27
524,5000;2708,51
525,0000;2725,28
525,5000;2710,37
526,0000;2701,07
526,5000;2748,29
527,0000;2710,46
527,5000;2750,06
528,0000;2784,47
528,5000;2760,14
529,0000;2764,6
529,5000;2768,71
530,0000;2766,29
530,5000;2770,94
531,0000;2764,64
531,5000;2768,62
532,0000;2743,92
532,5000;2788,71
533,0000;2749,05
533,5000;2770,9
534,0000;2753,67
534,5000;2752,7
535,0000;2728,57
535,5000;2749,51
536,0000;2742,02
536,5000;2735,86
537,0000;2751,15
537,5000;2779,91
538,0000;2724,27
538,5000;2737,03
539,0000;2717,49
539,5000;2705,69
540,0000;2708,92
540,5000;2674,61
541,0000;2660,57
541,5000;2673,75
542,0000;2655,07
542,5000;2633,35
543,0000;2672,15
543,5000;2659,33
544,0000;2618,97
544,5000;2593,49
545,0000;2596,17
545,5000;2585,79
546,0000;2557,64
546,5000;2575,15
547,0000;2561,43
547,5000;2530,78
548,0000;2513,58
548,5000;2496,58
549,0000;2497,95
549,5000;2491,62
550,0000;2507,02
