,lambd,ri
0,372.5581395348837,0.0
1,380.93023255813955,0.0604395604395606
2,388.3720930232558,0.1153846153846154
3,395.81395348837214,0.1785714285714286
4,401.3953488372093,0.2280219780219781
5,406.046511627907,0.2802197802197803
6,410.23255813953494,0.3392857142857142
7,413.48837209302326,0.3873626373626375
8,416.7441860465117,0.4340659340659341
9,420.93023255813955,0.4972527472527472
10,426.046511627907,0.5631868131868132
11,430.23255813953494,0.6236263736263736
12,437.6744186046512,0.7115384615384615
13,442.3255813953489,0.7692307692307692
14,446.9767441860465,0.8296703296703296
15,451.1627906976745,0.8695054945054946
16,455.34883720930236,0.9038461538461536
17,460.9302325581395,0.9436813186813184
18,469.3023255813954,0.9807692307692308
19,474.8837209302326,0.9972527472527472
20,480.4651162790698,1.0027472527472527
21,486.9767441860465,0.9945054945054944
22,493.4883720930234,0.9739010989010988
23,499.0697674418605,0.9423076923076922
24,506.51162790697686,0.9065934065934066
25,514.8837209302326,0.8571428571428571
26,521.3953488372093,0.8021978021978022
27,527.9069767441861,0.7499999999999999
28,533.4883720930233,0.7005494505494506
29,540.0,0.6538461538461537
30,546.5116279069767,0.6016483516483516
31,553.953488372093,0.5384615384615385
32,560.4651162790699,0.4972527472527472
33,566.9767441860465,0.4532967032967032
34,574.4186046511628,0.4038461538461537
35,583.2558139534885,0.3571428571428572
36,592.0930232558139,0.3104395604395602
37,603.2558139534883,0.2582417582417582
38,615.3488372093025,0.2005494505494505
39,626.5116279069769,0.151098901098901
40,640.4651162790699,0.098901098901099
41,650.6976744186046,0.0604395604395606
42,664.6511627906978,0.0274725274725275
